,Dm-L1,Dm-L2,Dm-L3,Dm-WL,Dm-PP1,Dm-PP2,Dm-PP3,Dm-P1,Dm-P2,Dm-P3,Ha-L1,Ha-L2,Ha-L3,Ha-L4,Ha-PP1,Ha-PP2,Ha-PP3,Ha-PP4,Ha-PP5,Ha-P1,Ha-P2,Ha-P3,Ha-P4,Px-L1,Px-L2,Px-L3,Px-L4,Px-PP1,Px-PP2,Px-PP3,Px-PP4,Px-P1,Px-P2,Px-P3,Lm-N1,Lm-N2,Lm-N3,Lm-N4,Lm-N5d1,Lm-N5d3,Lm-N5d5
OG0006232,186.2001353,105.1732598,81.34995227,51.45365671,55.39951184,80.99970872,93.85218494,82.4893139,80.43121002,75.192032,63.73158806,86.85915108,67.1127806,31.14918501,42.98008549,18.26890656,22.89541844,16.64863327,23.09600612,34.54097731,40.32259145,46.18118829,24.21511094,66.44647066,78.64358388,84.61699836,28.85133721,52.369516,49.70952577,45.830702,47.67669777,64.60170142,47.73817976,69.42091656,27.34746487,30.33256742,33.13166165,29.54617306,48.48205694,44.54572945,43.33793824
OG0006233,8.967019772,4.19472921,4.023128816,3.949820049,3.893811751,3.462368247,3.372196043,3.090971973,2.774838143,3.417288903,0.406860792,0.191532912,0.327367511,0.339201682,0.473722389,0.027462562,0.176210051,0.047176639,0.147570353,0.080122892,0.229567767,0.314719876,0.465211116,0.669192534,0.37925234,0.254047757,0.060442476,0.280494956,0.408073016,1.112832834,1.01002703,1.143477166,2.28671494,1.565069359,3.588707125,4.285322669,3.558891634,3.669516203,5.781380488,4.387403587,3.941685161
OG0006234,30.79127562,26.26074164,25.57690825,41.50053009,61.46309906,76.29021699,116.2291803,112.1360987,85.35806784,78.5462292,31.34628295,31.588467,26.85422916,41.0235299,55.83619154,39.16501146,60.67847749,30.74960073,71.7890829,64.91418052,86.65120261,126.1406903,75.44126023,1.926969188,1.011721282,0.983832736,0.734500119,7.716275106,6.795685156,8.436101086,6.336432249,14.72535117,9.992661392,8.445295911,26.57836223,30.88655455,34.8677548,44.17994273,51.90323574,52.78422641,47.87925807
OG0006235,37.28348132,29.5932227,16.85727502,13.92209003,14.90982246,19.65782517,18.91157381,20.16697579,14.17171823,8.654115703,27.03802395,36.99101857,39.46185942,24.59795435,25.36677035,15.39819682,13.43423536,11.03900138,9.304040054,18.04688024,26.74203962,22.94103622,11.94048396,49.07286429,72.55758063,76.85941626,34.82176384,36.35052013,37.59356811,31.31741917,41.76950341,42.54976088,40.9163954,34.87194503,80.24154198,78.25483417,47.35542988,81.17645723,112.8100766,125.097344,100.7552609
OG0006236,79.68181255,62.43418042,62.68629574,58.33953099,67.98383187,58.54221552,50.77913245,68.7528384,114.714892,80.54953679,51.21187574,48.22956465,43.10749654,41.8262629,83.92485159,60.28402969,74.64128174,62.63577308,91.09262542,62.46473314,67.6844405,83.19304347,108.9922834,11.81386184,5.692004367,6.325711099,3.886883031,19.85924,18.94972687,22.54953632,22.91046874,20.89482634,23.85778253,20.73792885,33.30427712,23.80429941,27.17847588,26.39059595,30.54204384,25.77228445,27.7196817
OG0006237,175.6039452,221.1047622,254.3380533,70.41604063,41.85585041,36.10015504,29.29641854,24.21488533,33.17227362,79.78105265,84.40318786,59.1953321,40.30188951,22.22086778,16.56454232,15.09350712,19.52930296,16.96757297,20.55884053,13.8110987,28.63719734,19.49464936,36.74570571,12.65929297,6.516139084,6.551740641,6.878044579,3.670845826,3.123626565,4.638178614,6.215313011,14.7084005,39.90268549,21.93796826,31.15823244,52.52699008,75.41879662,30.6635026,46.50108661,44.79817565,47.54791407
OG0006238,5.35358323,3.296898813,2.588518808,4.836668499,9.422068662,11.34159632,13.81628993,9.283199029,4.957776646,6.292198063,15.03771865,14.00698157,11.0647234,9.050671844,15.70964781,10.90504499,7.383186155,8.385237722,8.065659156,20.37287926,16.67822308,20.90222052,7.225434405,3.137152984,1.675029962,1.700853187,1.376193624,8.96079537,8.052143798,6.733591688,8.826293265,15.2093183,11.87713673,14.08821939,49.65371711,47.13013031,63.79620307,49.19905306,57.50322269,56.87089768,53.47402809
OG0006239,20.09961621,14.77895606,17.27556829,41.07113379,79.42361504,97.65467928,80.70297491,56.96372507,40.46150385,28.59731203,33.19541301,25.5706676,33.38410018,38.79315121,71.27564885,37.08027745,39.53667837,23.4743629,28.38504735,80.11335429,41.5350639,59.41210896,30.49337703,2.287535248,1.211731676,0.901966575,0.952796617,7.624552952,7.946304216,6.686406989,8.226783754,6.280249931,7.052816423,7.927396713,14.8909097,15.36644825,16.93604143,11.84067192,17.02982378,12.63012549,14.95915456
OG0006241,11.21310934,14.01723947,12.38855383,17.22498954,23.865558,23.14684046,35.18086721,25.68272132,16.18550692,9.033140863,12.68791885,14.29169366,15.64850172,12.51089954,19.41726012,10.40143957,12.59984124,8.572134774,10.83068332,17.19739742,18.32539525,28.5919087,9.696633584,23.03523498,19.28013318,19.44105577,11.77149893,16.6126653,13.97644833,11.16237701,12.20889267,11.7420414,11.84527743,16.82018089,20.4621635,20.88566292,22.13091975,23.1505267,30.61976035,24.3114658,29.26624005
OG0006243,68.47274055,37.30509597,26.21467836,29.07999586,43.99175538,37.73880078,63.19421354,53.44068221,24.17443861,18.91825067,61.63747871,68.32511148,71.91042256,38.63977941,38.5616303,37.70887424,21.61118066,25.11586965,12.73249307,31.00262324,50.39004281,33.45887565,14.94405352,83.31242469,73.08441608,85.7133519,46.31617969,74.34602912,69.31304967,69.77957331,45.88407497,66.80558884,54.58503017,65.73191457,114.7604647,124.8422943,107.6640171,134.6986111,181.4611705,201.1460392,204.2032354
